,Sold,City,State,Date,Start Time,End Time,location_name,top_category,sub_category,naics_code,phone_number,open_hours,opened_on,closed_on,tracking_closed_since,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,500,Roswell,Georgia,7/3/21,8:00,12:00,Roswell Farmers Market,Specialty Food Stores,Fruit and Vegetable Markets,445230,,,,,7/1/19,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,19,14,"[0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1.31E+11,,"{""131210114212"": 6, ""131210114103"": 6, ""130670302272"": 4}","{""US"": 13}",12173,60,"{""5-10"": 5, "">240"": 4, ""21-60"": 3, ""61-120"": 3, ""121-240"": 2, ""<5"": 1, ""11-20"": 1}","{""Chick-fil-A"": 21, ""Chevron"": 11, ""Walmart"": 5, ""Target"": 5, ""BP"": 5, ""Vino 100"": 5, ""Taco Bell"": 5, ""Starbucks"": 5, ""Wendy's"": 5, ""QuikTrip"": 5, ""Love's Travel Stops and Country Stores"": 5, ""Workout Anytime"": 5, ""Zaxby's"": 5, ""Ballard Designs"": 5, ""Panda Express"": 5, ""Publix Super Markets"": 5, ""YMCA"": 5, ""Shell Oil"": 5, ""La Quinta Inns & Suites"": 5, ""Dunkin'"": 5}","{""Walmart"": 50, ""McDonald's"": 50, ""Kroger"": 43, ""QuikTrip"": 43, ""Chick-fil-A"": 43, ""Shell Oil"": 43, ""BP"": 36, ""The Home Depot"": 36, ""Walgreens"": 36, ""CVS"": 36, ""Dunkin'"": 36, ""Taco Bell"": 29, ""Kroger Fuel Center"": 29, ""Zaxby's"": 29, ""Dairy Queen"": 29, ""Publix Super Markets"": 29, ""Dollar Tree"": 29, ""Mellow Mushroom"": 21, ""Target"": 21, ""Chevron"": 21}","[4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 5, 5, 5, 4, 2, 4, 3, 4, 3, 2, 5, 3, 4]","{""Wednesday"": 5, ""Saturday"": 4, ""Thursday"": 3, ""Friday"": 3, ""Tuesday"": 2, ""Monday"": 1, ""Sunday"": 1}","{""android"": 8, ""ios"": 7}"
2,1,Roswell,Georgia,7/11/21,11:00,15:00,Roswell Farmers and Artisans Market,Specialty Food Stores,Fruit and Vegetable Markets,445230,14044929938,,,,7/1/19,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,340,129,"[8, 6, 1, 0, 0, 16, 13, 10, 24, 2, 22, 21, 20, 15, 16, 13, 2, 0, 12, 15, 20, 15, 14, 1, 0, 23, 8, 18, 11, 11, 3]",1.31E+11,"{""130570905023"": 4, ""130570910011"": 4, ""130670303103"": 4, ""131210114051"": 4, ""131210114111"": 4, ""131210114122"": 4, ""130570909025"": 4, ""131210101182"": 4, ""130570901004"": 4, ""131210116201"": 4, ""131210102061"": 4, ""130570905021"": 4, ""131210116142"": 4, ""131210116241"": 4, ""131210115062"": 4, ""131210114173"": 4, ""130570907013"": 4, ""131390016073"": 4, ""130890234284"": 4, ""130570906012"": 4, ""131210114183"": 4, ""130670303292"": 4, ""131171306032"": 4, ""131210114234"": 4, ""131171306062"": 4, ""131510703061"": 4, ""131210114192"": 4, ""130570910053"": 4}","{""131210114051"": 10, ""131210115062"": 5, ""131210116113"": 5, ""130570910011"": 4, ""131210114211"": 4, ""130670310021"": 4, ""131210114111"": 4, ""130570909025"": 4, ""131210101182"": 4, ""131210116201"": 4, ""130570907014"": 4, ""130670303102"": 4, ""131210116142"": 4, ""130570909051"": 4, ""131350505111"": 4, ""131210116122"": 4, ""131210114123"": 4, ""131210114101"": 4, ""131350504232"": 4, ""130890234284"": 4, ""130670303292"": 4, ""131210114191"": 4, ""131210115052"": 4, ""131210114221"": 4, ""131390016072"": 4, ""131210114234"": 4, ""131171303071"": 4, ""130670315082"": 4, ""131350503103"": 4}","{""US"": 126}",12392,119.5,"{""121-240"": 99, "">240"": 70, ""21-60"": 55, ""5-10"": 41, ""61-120"": 39, ""11-20"": 31, ""<5"": 5}","{""Shell Oil"": 6, ""Kroger"": 5, ""Walmart"": 4, ""Kroger Fuel Center"": 4, ""QuikTrip"": 4, ""Starbucks"": 3, ""Chick-fil-A"": 3, ""Target"": 2, ""Chevron"": 2, ""BP"": 2, ""The Home Depot"": 2, ""AutoZone"": 2, ""Goodwill Industries"": 1, ""Ross Stores"": 1, ""Cartridge World"": 1, ""Five Below"": 1, ""Costco"": 1, ""Stoney River"": 1, ""Studio 6"": 1, ""McDonald's"": 1}","{""Walmart"": 47, ""Chick-fil-A"": 47, ""McDonald's"": 41, ""Shell Oil"": 40, ""Starbucks"": 39, ""QuikTrip"": 38, ""Kroger"": 36, ""BP"": 32, ""Target"": 31, ""The Home Depot"": 30, ""RaceTrac"": 29, ""Kroger Fuel Center"": 27, ""Zaxby's"": 21, ""Subway"": 20, ""Chevron"": 19, ""Costco"": 19, ""Waffle House"": 19, ""CVS"": 19, ""Publix Super Markets"": 19, ""Exxon Mobil"": 19}","[2, 1, 1, 1, 1, 1, 8, 62, 94, 111, 115, 112, 109, 136, 128, 117, 104, 79, 33, 24, 13, 10, 2, 2]","{""Friday"": 68, ""Wednesday"": 66, ""Thursday"": 60, ""Tuesday"": 59, ""Monday"": 56, ""Sunday"": 22, ""Saturday"": 9}","{""ios"": 71, ""android"": 59}"
3,400,Decatur ,Georgia,5/11/21,17:00,19:00,YMCA,Individual and Family Services,Other Individual and Family Services,624190,14043779622,"{ ""Mon"": [[""0:00"", ""18:00""], [""5:00"", ""22:00""]], ""Tue"": [[""5:00"", ""22:00""]], ""Wed"": [[""5:00"", ""22:00""]], ""Thu"": [[""5:00"", ""22:00""]], ""Fri"": [[""5:00"", ""21:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""20:00"", ""24:00""]] }",,,7/1/19,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,636,146,"[28, 33, 10, 14, 25, 23, 24, 28, 16, 9, 9, 31, 28, 21, 24, 28, 10, 9, 18, 19, 28, 23, 18, 11, 13, 32, 24, 25, 24, 20, 11]",1.31E+11,"{""130890223014"": 9, ""130890226003"": 7, ""130890225004"": 7, ""340270428001"": 6, ""130890229003"": 5, ""130890223021"": 4, ""131210089042"": 4, ""120860078011"": 4, ""230099667002"": 4, ""131210017001"": 4, ""130890218143"": 4, ""131210015002"": 4, ""131790105022"": 4, ""130890225002"": 4, ""130890224033"": 4, ""130890230001"": 4, ""130890224021"": 4, ""130890228003"": 4, ""132231201032"": 4, ""130890231014"": 4, ""130890234262"": 4, ""130890225003"": 4, ""130890234191"": 4, ""131210041003"": 4, ""130890223011"": 4, ""130890223022"": 4, ""130890224032"": 4, ""130890224031"": 4, ""130890220101"": 4, ""132171001004"": 4, ""130771708021"": 4, ""390490063103"": 4, ""130890226001"": 4}","{""130890225004"": 12, ""130890229003"": 5, ""130890224031"": 5, ""130890226002"": 4, ""130890215042"": 4, ""130890222031"": 4, ""131210065001"": 4, ""130890218143"": 4, ""130890226003"": 4, ""130890223015"": 4, ""130890225002"": 4, ""130890224033"": 4, ""130890224021"": 4, ""132231201032"": 4, ""130890222041"": 4, ""481390602042"": 4, ""130890232083"": 4, ""130890223023"": 4, ""130890222044"": 4, ""130890220083"": 4, ""131210105151"": 4, ""130890234191"": 4, ""131210041003"": 4, ""132171005013"": 4, ""120860153002"": 4, ""130630406081"": 4, ""130890231131"": 4, ""130771708021"": 4, ""130890223014"": 4, ""130890216021"": 4}","{""US"": 141}",4043,61,"{""21-60"": 232, ""61-120"": 173, ""121-240"": 85, "">240"": 61, ""5-10"": 51, ""11-20"": 30, ""<5"": 4}","{""Chick-fil-A"": 6, ""Walmart"": 3, ""Kroger"": 3, ""Starbucks"": 3, ""QuikTrip"": 3, ""Publix Super Markets"": 3, ""Chevron"": 2, ""ALDI"": 2, ""The Home Depot"": 2, ""Shell Oil"": 2, ""Petco"": 1, ""Target"": 1, ""BP"": 1, ""RaceTrac"": 1, ""Costco Gasoline"": 1, ""Costco"": 1, ""McDonald's"": 1, ""Waffle House"": 1, ""CVS"": 1, ""Dunkin'"": 1}","{""Chick-fil-A"": 45, ""Walmart"": 42, ""QuikTrip"": 38, ""Kroger"": 36, ""Chevron"": 30, ""Target"": 29, ""The Home Depot"": 28, ""Starbucks"": 28, ""Publix Super Markets"": 27, ""McDonald's"": 25, ""Shell Oil"": 25, ""CVS"": 21, ""BP"": 18, ""Dunkin'"": 18, ""Goodwill Industries"": 16, ""Subway"": 16, ""Wendy's"": 15, ""Walgreens"": 15, ""Exxon Mobil"": 15, ""Chipotle Mexican Grill"": 14}","[7, 7, 6, 7, 13, 43, 50, 97, 135, 150, 137, 109, 121, 100, 113, 119, 137, 114, 83, 53, 26, 12, 11, 9]","{""Thursday"": 127, ""Friday"": 115, ""Monday"": 106, ""Wednesday"": 98, ""Tuesday"": 94, ""Saturday"": 51, ""Sunday"": 45}","{""ios"": 91, ""android"": 55}"
7,91,Sandy Springs,Georgia,7/25/21,13:00,17:00,Catch Air,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,713990,16788821205,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [[""11:00"", ""18:00""]] }",,4/6/21,7/1/19,,,,,,,,,,,,,,,,,
8,128,Dunwoody,Georgia,7/17/21,2:00,8:00,Dekalb County Library Dunwoody Branch,Other Information Services,Libraries and Archives,519120,17705124640,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,7/1/19,,,,,,,,,,,,,,,,,
10,1,Woodstock,Georgia,7/4/21,18:30,9:30,Steve Hale Evangelistic Association Inc,Religious Organizations,Religious Organizations,813110,17705910320,,,,7/1/19,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,726,384,"[4, 4, 5, 268, 5, 34, 14, 2, 25, 1, 54, 9, 43, 9, 7, 8, 2, 47, 4, 37, 43, 4, 5, 6, 52, 10, 10, 5, 6, 3, 0]",1.31E+11,"{""130570909041"": 17, ""130570908042"": 14, ""130570907013"": 13, ""130570908032"": 10, ""130570909012"": 9, ""130570903002"": 9, ""130570909023"": 8, ""130570907014"": 8, ""130570908031"": 7, ""130570909022"": 6, ""130570911012"": 6, ""130570908033"": 6, ""130570905021"": 6, ""130570909052"": 6, ""130570910072"": 6, ""130570910033"": 5, ""132231202021"": 5, ""132270505002"": 4, ""130670302231"": 4, ""130570909021"": 4, ""471079706005"": 4, ""130570907022"": 4, ""132910002051"": 4, ""130570909043"": 4, ""130570909025"": 4, ""130570910062"": 4, ""130670303132"": 4, ""130570902001"": 4, ""131210098022"": 4, ""130570910051"": 4, ""130570911032"": 4, ""130570901004"": 4, ""420171057045"": 4, ""130570905011"": 4, ""130570909051"": 4, ""130570909044"": 4, ""484391054053"": 4, ""130159607003"": 4, ""130670305061"": 4, ""130670303412"": 4, ""130570902003"": 4, ""130570911031"": 4, ""130570909024"": 4, ""130670303342"": 4, ""130670302282"": 4, ""130570909013"": 4, ""130670302262"": 4, ""132470601023"": 4, ""130670302222"": 4, ""131210114183"": 4, ""130670301012"": 4, ""131210115052"": 4, ""130670302273"": 4, ""130159602004"": 4, ""130570910052"": 4, ""130570901002"": 4, ""131210115041"": 4, ""131350506061"": 4, ""130670303263"": 4, ""130570908041"": 4, ""131210114234"": 4, ""130670301033"": 4, ""131210115043"": 4, ""130670303104"": 4, ""130570910084"": 4, ""131110503001"": 4, ""132270503002"": 4, ""130570907021"": 4, ""130570904002"": 4, ""130570908023"": 4, ""130570910061"": 4, ""130670302091"": 4, ""130570910053"": 4, ""130670303122"": 4}","{""130570909041"": 15, ""130570908042"": 12, ""130570907014"": 11, ""130570909044"": 11, ""130570903002"": 10, ""130570905021"": 9, ""130570907013"": 9, ""130570909022"": 7, ""130570910033"": 7, ""130570909023"": 7, ""130570908031"": 7, ""130570910084"": 7, ""130570904002"": 6, ""130670302361"": 5, ""130570909051"": 5, ""132231202021"": 5, ""130570909024"": 5, ""132270505002"": 4, ""130570910013"": 4, ""130570909011"": 4, ""130570905023"": 4, ""130570910011"": 4, ""130570906021"": 4, ""130570909021"": 4, ""130570903001"": 4, ""130670303182"": 4, ""130570911012"": 4, ""471079706005"": 4, ""130570911034"": 4, ""130570907022"": 4, ""240317008151"": 4, ""130670303422"": 4, ""130570909043"": 4, ""130570910012"": 4, ""130570910062"": 4, ""130570908033"": 4, ""130570902001"": 4, ""130570909012"": 4, ""130570910051"": 4, ""130570901004"": 4, ""130670304092"": 4, ""131210102043"": 4, ""130670302281"": 4, ""130570905011"": 4, ""130570908032"": 4, ""130670305061"": 4, ""130570902003"": 4, ""131350507202"": 4, ""130670302282"": 4, ""130670302262"": 4, ""130570907023"": 4, ""130670302222"": 4, ""130570909052"": 4, ""131210114172"": 4, ""131210115052"": 4, ""130159602004"": 4, ""130670303134"": 4, ""130639800001"": 4, ""130570910031"": 4, ""130670303263"": 4, ""130570908041"": 4, ""130570906022"": 4, ""130670303104"": 4, ""130670302272"": 4, ""130570906011"": 4, ""130570910072"": 4, ""130670309021"": 4, ""130570907021"": 4, ""130570910083"": 4, ""130570908023"": 4, ""130670302091"": 4, ""131210116113"": 4, ""131110504005"": 4, ""130570910053"": 4}","{""US"": 378}",9019,35.5,"{""21-60"": 231, ""61-120"": 210, ""5-10"": 157, ""11-20"": 86, ""121-240"": 30, ""<5"": 12, "">240"": 0}","{""RaceTrac"": 7, ""McDonald's"": 6, ""Culver's"": 5, ""Chick-fil-A"": 4, ""Discovery Point"": 4, ""Dunkin'"": 4, ""Walmart"": 3, ""Target"": 3, ""The Home Depot"": 3, ""Starbucks"": 3, ""Taco Mac"": 3, ""QuikTrip"": 3, ""Publix Super Markets"": 3, ""Subway"": 3, ""Sonic"": 2, ""Kroger"": 2, ""Costco"": 2, ""Zaxby's"": 2, ""Bojangles'"": 2, ""Dollar Tree"": 2}","{""Chick-fil-A"": 61, ""Walmart"": 54, ""RaceTrac"": 49, ""McDonald's"": 46, ""Target"": 44, ""Starbucks"": 41, ""QuikTrip"": 41, ""Kroger"": 34, ""The Home Depot"": 32, ""Shell Oil"": 32, ""Dunkin'"": 32, ""Zaxby's"": 31, ""Publix Super Markets"": 29, ""Subway"": 28, ""Wendy's"": 26, ""Chevron"": 25, ""Kroger Fuel Center"": 25, ""Dollar Tree"": 25, ""Walgreens"": 23, ""Dairy Queen"": 22}","[3, 2, 0, 0, 0, 1, 9, 2, 27, 71, 75, 57, 31, 18, 26, 38, 21, 43, 155, 214, 179, 150, 43, 12]","{""Sunday"": 421, ""Tuesday"": 124, ""Wednesday"": 71, ""Friday"": 45, ""Monday"": 28, ""Thursday"": 23, ""Saturday"": 14}","{""ios"": 238, ""android"": 147}"
12,1,Johns Creek,Georgia,7/4/21,18:00,22:00,Country Club of the South,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,713910,,"{ ""Mon"": [[""6:30"", ""18:00""]], ""Tue"": [[""6:30"", ""21:00""]], ""Wed"": [[""6:30"", ""21:00""]], ""Thu"": [[""6:30"", ""21:00""]], ""Fri"": [[""6:30"", ""22:00""]], ""Sat"": [[""7:30"", ""21:00""]], ""Sun"": [[""9:00"", ""20:00""]] }",,,7/1/19,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,2378,743,"[75, 86, 78, 188, 42, 53, 85, 82, 68, 70, 66, 88, 72, 74, 80, 77, 72, 54, 82, 60, 80, 66, 90, 65, 50, 65, 83, 88, 94, 72, 73]",1.31E+11,"{""131210114253"": 59, ""131210114251"": 49, ""131210114241"": 19, ""131210114252"": 16, ""131210116181"": 11, ""131350501081"": 8, ""131210116132"": 7, ""131210114141"": 7, ""131210116232"": 7, ""131210116251"": 6, ""131210116121"": 6, ""131210116253"": 6, ""131210114143"": 6, ""131171306091"": 5, ""131210116242"": 5, ""130131804022"": 5, ""130630406211"": 5, ""370499610013"": 5, ""131350505463"": 5, ""131210114261"": 5, ""131350502171"": 5, ""131350507201"": 5, ""280450305001"": 5, ""131210116213"": 4, ""340270441022"": 4, ""132971106022"": 4, ""131171306011"": 4, ""130570906021"": 4, ""130670303391"": 4, ""131210116101"": 4, ""131350506104"": 4, ""130670304071"": 4, ""131350502123"": 4, ""130510107001"": 4, ""131171306101"": 4, ""131171306061"": 4, ""131210116143"": 4, ""130670303121"": 4, ""130890212113"": 4, ""131210095012"": 4, ""370399305001"": 4, ""131210114122"": 4, ""130570909025"": 4, ""130771706021"": 4, ""131350504192"": 4, ""131131401013"": 4, ""131350505412"": 4, ""131210116223"": 4, ""131350501071"": 4, ""131171302053"": 4, ""132270504001"": 4, ""131350506101"": 4, ""131350506081"": 4, ""130890212042"": 4, ""131210116201"": 4, ""010810420023"": 4, ""130890215032"": 4, ""130670303203"": 4, ""130570905021"": 4, ""131210115051"": 4, ""130570909051"": 4, ""131210116173"": 4, ""131210102054"": 4, ""130670304102"": 4, ""131171306083"": 4, ""130890227001"": 4, ""131210116131"": 4, ""131350505381"": 4, ""131350504313"": 4, ""060650427451"": 4, ""131210116122"": 4, ""132470603083"": 4, ""131350507141"": 4, ""131210116261"": 4, ""131210115062"": 4, ""131350501061"": 4, ""131350503153"": 4, ""131210114202"": 4, ""131390016073"": 4, ""130570909041"": 4, ""131210116171"": 4, ""131210114101"": 4, ""131210114271"": 4, ""130570906012"": 4, ""131210116211"": 4, ""131210116222"": 4, ""131171301031"": 4, ""130670311083"": 4, ""131171301042"": 4, ""131210114191"": 4, ""131350501052"": 4, ""130670303191"": 4, ""131210112013"": 4, ""130670303105"": 4, ""130670303432"": 4, ""130859702012"": 4, ""132270501001"": 4, ""131210096032"": 4, ""131570106003"": 4, ""480050010011"": 4, ""131171302041"": 4, ""130890212142"": 4, ""131210114103"": 4, ""131210116163"": 4, ""340130136004"": 4, ""131210114272"": 4, ""131850113021"": 4, ""130890220091"": 4, ""131210115043"": 4, ""131350501063"": 4, ""131350502102"": 4, ""130570908031"": 4, ""131390016051"": 4, ""371830528023"": 4, ""130670302272"": 4, ""131171303042"": 4, ""130570904002"": 4, ""120950129002"": 4, ""132579702003"": 4, ""481130141371"": 4, ""131350503222"": 4, ""131390016042"": 4, ""130670303262"": 4, ""050510116014"": 4, ""131210114273"": 4, ""131210114121"": 4}","{""131210114253"": 54, ""131210114251"": 45, ""131210114241"": 19, ""131210114252"": 12, ""131210116202"": 9, ""131210116181"": 9, ""131210114122"": 7, ""131350502202"": 7, ""131350501081"": 7, ""131210116171"": 6, ""131210114271"": 6, ""131210116193"": 6, ""131210116253"": 6, ""131210116232"": 6, ""131350503103"": 6, ""131350506104"": 5, ""131210116251"": 5, ""130570909051"": 5, ""131210116173"": 5, ""131210116213"": 4, ""131390015021"": 4, ""131210077043"": 4, ""131171306011"": 4, ""130890214052"": 4, ""131210101181"": 4, ""130670304071"": 4, ""120350601061"": 4, ""131350502123"": 4, ""131171306101"": 4, ""131171306061"": 4, ""131210116143"": 4, ""130970805101"": 4, ""131210116242"": 4, ""360610134002"": 4, ""131210116262"": 4, ""181670107022"": 4, ""130570909025"": 4, ""450770102001"": 4, ""131350505112"": 4, ""131350503191"": 4, ""130630404114"": 4, ""131210116172"": 4, ""131210114242"": 4, ""130890216031"": 4, ""131210116161"": 4, ""130890205001"": 4, ""131210116223"": 4, ""131350501071"": 4, ""131210091014"": 4, ""131171302053"": 4, ""131350506081"": 4, ""131390011011"": 4, ""131350502201"": 4, ""130670303203"": 4, ""130570905021"": 4, ""131210102054"": 4, ""390351214011"": 4, ""131210116131"": 4, ""131210114141"": 4, ""131350507141"": 4, ""132231202031"": 4, ""131198902004"": 4, ""131171305103"": 4, ""121270823013"": 4, ""131390014042"": 4, ""131350503093"": 4, ""131210114202"": 4, ""132971105031"": 4, ""131210116151"": 4, ""131210114181"": 4, ""131390016081"": 4, ""131210114053"": 4, ""131171304052"": 4, ""131210116121"": 4, ""131210114142"": 4, ""130670302341"": 4, ""481576731021"": 4, ""131390013013"": 4, ""131210116211"": 4, ""484530016021"": 4, ""010439655001"": 4, ""130670303371"": 4, ""011250120001"": 4, ""471490418003"": 4, ""131350507261"": 4, ""130570901002"": 4, ""132270501001"": 4, ""130890233092"": 4, ""131350502171"": 4, ""131171302041"": 4, ""131350502052"": 4, ""131210114103"": 4, ""131210114143"": 4, ""131210116163"": 4, ""132779601002"": 4, ""131850113021"": 4, ""130890220091"": 4, ""131210115043"": 4, ""131171306102"": 4, ""010890019031"": 4, ""130159604012"": 4, ""131171306062"": 4, ""131171306033"": 4, ""120379703041"": 4, ""131350503222"": 4, ""130670303262"": 4, ""050510116014"": 4, ""131210114273"": 4, ""131210012021"": 4}","{""US"": 695}",13597,61,"{""21-60"": 586, ""61-120"": 488, ""121-240"": 354, "">240"": 351, ""5-10"": 338, ""11-20"": 217, ""<5"": 44}","{""BP"": 6, ""Chick-fil-A"": 6, ""QuikTrip"": 5, ""Starbucks"": 3, ""McDonald's"": 3, ""Target"": 2, ""RaceTrac"": 2, ""The Home Depot"": 2, ""Publix Super Markets"": 2, ""Shell Oil"": 2, ""Walmart"": 1, ""Chevron"": 1, ""Kroger"": 1, ""Kroger Fuel Center"": 1, ""Wendy's"": 1, ""Costco"": 1, ""Zaxby's"": 1, ""Waffle House"": 1, ""CVS"": 1, ""Dunkin'"": 1}","{""Chick-fil-A"": 51, ""QuikTrip"": 39, ""McDonald's"": 38, ""BP"": 35, ""Target"": 34, ""Starbucks"": 34, ""Walmart"": 31, ""Shell Oil"": 31, ""RaceTrac"": 27, ""Publix Super Markets"": 27, ""CVS"": 24, ""Chevron"": 23, ""The Home Depot"": 23, ""Zaxby's"": 23, ""Kroger"": 22, ""Kroger Fuel Center"": 20, ""Walgreens"": 19, ""Wendy's"": 18, ""Waffle House"": 18, ""Dunkin'"": 18}","[196, 179, 169, 169, 166, 167, 180, 239, 339, 406, 431, 439, 461, 477, 475, 454, 430, 396, 424, 370, 374, 424, 307, 262]","{""Thursday"": 397, ""Friday"": 393, ""Saturday"": 358, ""Sunday"": 358, ""Wednesday"": 327, ""Monday"": 277, ""Tuesday"": 268}","{""ios"": 532, ""android"": 210}"
